2,1
47,218
63,80
11,218
108,39
166,162
151,205
34,103
116,86
186,72
171,41
217,33
98,72
200,34
106,69
108,67
225,149
90,42
119,93
225,70
161,7
177,179
54,46
145,156
95,166
151,144
193,61
74,192
65,50
91,12
219,221
78,72
145,11
132,200
129,155
214,22
86,26
155,136
154,134
222,42
46,144
181,110
26,176
102,179
209,138
174,52
16,126
33,147
86,31
125,65
217,50
100,36
28,76
110,192
201,184
117,83
58,43
167,25
48,26
204,140
111,51
41,63
222,72
18,155
212,209
220,141
216,215
47,196
187,44
190,133
182,162
42,216
9,95
12,11
138,11
218,43
61,83
171,118
188,126
190,160
56,218
10,26
180,185
27,16
62,159
203,159
166,198
120,23
109,216
85,94
41,101
135,140
127,96
49,45
175,144
175,15
106,129
91,3
167,131
115,3
54,166
167,107
134,189
134,3
46,122
177,208
122,74
38,19
92,134
81,115
112,90
165,117
202,13
218,28
128,96
94,90
139,152
158,127
110,211
124,150
165,6
115,105
199,207
136,68
3,206
84,198
212,49
59,126
133,80
103,61
44,177
203,22
17,39
45,31
117,55
13,169
149,9
21,73
186,80
222,19
122,1
22,44
62,97
181,172
52,180
28,24
199,182
186,148
130,180
88,69
222,16
223,51
147,79
138,104
177,168
153,214
214,176
165,192
38,135
46,61
118,95
62,83
84,216
210,78
134,125
104,159
120,191
18,75
75,121
21,209
209,59
217,197
165,142
116,170
204,78
141,58
74,82
180,155
170,149
70,124
59,176
107,179
197,194
83,172
48,106
186,187
6,97
187,104
130,73
30,165
80,79
20,96
185,15
116,201
194,106
162,216
74,179
